Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE
b9c610cd-28a6-4636-ccb6-c7a0d2a4cb85,2019-08-10,,999-65-3251,,,,Damon455,Langosh790,,,,white,nonhispanic,M,Middleborough  Massachusetts  US,620 Lynch Tunnel Apt 0,Springfield,Massachusetts,Hampden County,01104,42.08038942501558,-72.48043144917739,9133.17,7470.11
c1f1fcaa-82fd-d5b7-3544-c8f9708b06a8,2005-12-25,,999-49-3323,S99990343,,,Thi53,Wunsch504,,,,white,nonhispanic,F,Danvers  Massachusetts  US,972 Tillman Branch Suite 48,Bellingham,Massachusetts,Norfolk County,,42.03521335752818,-71.48251904737748,421911.55,81414.85
217f95a3-4e10-bd5d-fb67-0cfb5e8ba075,1994-06-15,,999-91-4320,S99920156,X86496034X,Mr.,Jerrold404,Herzog843,,,M,black,nonhispanic,M,Boston  Massachusetts  US,276 Bernier Branch,Revere,Massachusetts,Suffolk County,,42.3818748756275,-70.99928578468784,1081163.27,31580.56
339144f8-50e1-633e-a013-f361391c4cff,1998-11-01,,999-10-8743,S99985840,X42348093X,Mr.,Chi716,Greenfelder433,,,,white,nonhispanic,M,Athens  Athens Prefecture  GR,1060 Bernhard Crossroad Suite 15,Boston,Massachusetts,Suffolk County,02131,42.29255662362827,-71.06116042204106,597989.43,563.30
23d16ee3-8cd4-eeb8-e77e-1e5fbf4c4159,1991-06-08,,999-60-9905,S99978894,X30644575X,Mr.,Rodrigo242,Arellano2,,,M,black,hispanic,M,Bogota  Bogota  CO,538 Crona Underpass,Revere,Massachusetts,Suffolk County,02151,42.44326150073713,-71.02232158016432,828986.54,1501.47
aade3c61-92bd-d079-9d28-0b2b7fde0fbb,1985-11-27,,999-93-3123,S99996869,X46624717X,Mr.,Sal878,Hoppe518,,,S,white,nonhispanic,M,Merrimac  Massachusetts  US,930 Goldner Stravenue Apt 8,Somerville,Massachusetts,Middlesex County,02138,42.363459871015344,-71.1022528716212,878634.71,912.61
d488232e-bf14-4bed-08c0-a82f34b6a197,2003-07-21,,999-56-6057,S99956927,,Ms.,Phillis443,Walter473,,,,white,nonhispanic,F,Boston  Massachusetts  US,677 Ritchie Terrace,Hingham,Massachusetts,Plymouth County,02043,42.200490824321214,-70.91607557520302,992047.17,165163.44
c0219ca9-576f-f7c2-9c44-de030e94969b,1972-05-29,,999-24-2120,S99960782,X23762721X,Mrs.,Beatriz277,Macías944,,Villalpando154,M,white,hispanic,F,Lima  Lima Province  PE,497 Bahringer Crossing,Somerville,Massachusetts,Middlesex County,02138,42.37578548998286,-71.0903966734203,1782548.63,531924.63
0288c42c-43a1-9878-4a9d-6b96caa12c40,1980-06-09,,999-68-7908,S99929383,X64602004X,Mrs.,Miki234,Grady603,,Morar593,M,white,nonhispanic,F,Northbridge  Massachusetts  US,636 Stamm Gateway,Cambridge,Massachusetts,Middlesex County,02472,42.337425423321065,-71.1066547010483,1814790.74,233111.45
61a2fcc0-d679-764c-7d86-b885b2c4907f,1993-07-15,,999-98-2186,S99993697,X31692321X,Mrs.,Erline657,Beer512,,Strosin214,M,white,nonhispanic,F,Mashpee  Massachusetts  US,566 Rosenbaum Ferry,Holbrook,Massachusetts,Norfolk County,,42.15188021171504,-70.95230839472299,711205.18,184793.66
